Specimen ID,Sex,Family name,Latin Name,County,year collected,Population designation,neurocranium length,neurocranium height,neurocranium width,mmcranialvolume,cranialvolume,total body length,bodylength,relativecc,tail length,hindfoot length
7883,F,GEOMYIDAE,GEOMYS BURSARIUS,PINE,1966,0,21.74,14.04,15.53,4740.215688,4.740215688,245,24.5,0.193478191,67,31
11643,M,GEOMYIDAE,GEOMYS BURSARIUS,HENNEPIN,1971,1,22.88,13.75,15.77,4961.242,4.961242,268,26.8,0.18512097,78,34
12353,M,GEOMYIDAE,GEOMYS BURSARIUS,DAKOTA,1973,1,22.95,16.02,16.38,6022.25442,6.02225442,265,26.5,0.227254884,85,34
12354,M,GEOMYIDAE,GEOMYS BURSARIUS,RAMSEY,1973,1,24.95,15.88,16.38,6489.85428,6.48985428,283,28.3,0.229323473,81,36
13290,F,GEOMYIDAE,GEOMYS BURSARIUS,WINONA,1975,0,22.3,14.03,15.57,4871.37033,4.87137033,255,25.5,0.191034131,77,33
14428,F,GEOMYIDAE,GEOMYS BURSARIUS,ANOKA,1979,1,22.48,14.39,15.4,4981.70288,4.98170288,235,23.5,0.211987357,73,31
14584,F,GEOMYIDAE,GEOMYS BURSARIUS,LYON,1982,0,23.71,14.95,16.75,5937.280375,5.937280375,278,27.8,0.213571237,74,35
14707,M,GEOMYIDAE,GEOMYS BURSARIUS,REDWOOD,1983,0,22.93,15.95,16.46,6019.97341,6.01997341,286,28.6,0.210488581,91,40
15197,F,GEOMYIDAE,GEOMYS BURSARIUS,WILKIN,1988,0,22.69,14.98,17.16,5832.618792,5.832618792,267,26.7,0.218450142,67,33
18346,F,GEOMYIDAE,GEOMYS BURSARIUS,BECKER,1999,0,18.92,12.85,14.58,3544.71876,3.54471876,197,19.7,0.179934962,47,29
18552,F,GEOMYIDAE,GEOMYS BURSARIUS,SHERBURNE,2001,0,21.97,14.73,15.64,5061.387084,5.061387084,229,22.9,0.22102127,68,33
18617,F,GEOMYIDAE,GEOMYS BURSARIUS,RAMSEY,2001,1,21.2,14.08,15.16,4525.19936,4.52519936,243,24.3,0.186222196,64,34
2740,M,VESPERTILIONIDAE,LASIONYCTERIS NOCTIV0ANS,CLEARWATER,1949,0,8.34,5.25,8.24,360.7884,0.3607884,93,9.3,0.038794452,44,10
